,IoU,F1,Precision,Recall,TP,TN,FP,FN,Fold,Img_id,Name
38,0.2580652189701503,0.4102572983957095,0.2847651867286424,0.7335012282476312,35533,517670,89247,12910,3,38,pspnet_tu-mobilenetv3_large_150d
39,0.2787576608871324,0.4359819994255136,0.3900055197091684,0.4942471899271552,40981,508347,64097,41935,3,39,pspnet_tu-mobilenetv3_large_150d
40,0.1836435840158848,0.3103021661179727,0.3974965080047276,0.2544797936371453,14798,574780,22430,43352,4,40,pspnet_tu-mobilenetv3_large_150d
41,0.2514965140669584,0.4019132474443355,0.3915367825108284,0.4128546768799223,45921,472769,71363,65307,4,41,pspnet_tu-mobilenetv3_large_150d
42,0.2129846732636543,0.3511745497832188,0.3488089556124441,0.3535724495854683,16078,579871,30016,29395,4,42,pspnet_tu-mobilenetv3_large_150d
43,0.0717562537868951,0.1339040542723308,0.5594735954108317,0.0760533015297814,3316,609148,2611,40285,4,43,pspnet_tu-mobilenetv3_large_150d
44,0.2472481264833953,0.3964698302341959,0.4595984158966164,0.3485890443443206,13230,601851,15556,24723,4,44,pspnet_tu-mobilenetv3_large_150d
45,0.1780610832219774,0.3022951623781397,0.4517991325065673,0.2271345208845208,14791,572293,17947,50329,4,45,pspnet_tu-mobilenetv3_large_150d
46,0.3511380751362932,0.5197663830188087,0.5019559086636141,0.538887261125761,16553,608219,16424,14164,4,46,pspnet_tu-mobilenetv3_large_150d
47,0.1485903256543915,0.258735116142885,0.2860688464443725,0.2361692650334075,7953,601837,19848,25722,4,47,pspnet_tu-mobilenetv3_large_150d
48,0.0,0.0,0.0,0.0,0,572880,82477,3,4,48,pspnet_tu-mobilenetv3_large_150d
49,0.2922697932582868,0.4523355645748978,0.4404801067739419,0.4648468497063958,46864,495015,59529,53952,4,49,pspnet_tu-mobilenetv3_large_150d
50,0.3908655937364071,0.5620465349011758,0.4618009517642584,0.7178807100516081,44930,540410,52363,17657,5,50,pspnet_tu-mobilenetv3_large_150d
51,0.2657267150726089,0.4198800766520368,0.5296135732776097,0.3478145098521158,33962,527552,30164,63682,5,51,pspnet_tu-mobilenetv3_large_150d
52,0.3290526249329166,0.4951686919839241,0.3938262742282842,0.6667391610270319,52117,496975,80218,26050,5,52,pspnet_tu-mobilenetv3_large_150d
53,0.3376682986536107,0.5048610316824889,0.4041106864113891,0.6725326629337599,52968,498496,78105,25791,5,53,pspnet_tu-mobilenetv3_large_150d
54,0.3440419729016287,0.5119512334259659,0.4725226783806959,0.5585588789700181,31410,564063,35063,24824,5,54,pspnet_tu-mobilenetv3_large_150d
55,0.3656717614793668,0.5355192540310743,0.4752772450596181,0.6132494149923344,22800,593009,25172,14379,5,55,pspnet_tu-mobilenetv3_large_150d
56,0.3602808534461308,0.5297153930137244,0.4700624923913484,0.6067093530266724,46335,526752,52237,30036,5,56,pspnet_tu-mobilenetv3_large_150d
57,0.265620471646469,0.4197474323418907,0.4284353953496425,0.411404821280133,24746,562197,33013,35404,5,57,pspnet_tu-mobilenetv3_large_150d
